n_sl,xi_0_sl,xi_inf_sl,h_0_sl_sl,error
27.260501576138875,12501219.089318454,10049378.533753015,4555222366.9991665,468013314950344.75
29.939993663663145,15105781.389978196,12750709.10647742,179233631.99218273,765724710252123.2
58.77000765251067,10505265.229261491,17487133.761238717,9905488069.82588,1426449779698776.0
32.34989514214374,14765644.602081425,11576953.75579188,4496866284.51742,623332704104376.5
55.36660334368914,8262573.596950871,10970073.630392306,8100850190.670525,561241277267551.56
14.98164764065902,12238125.967785852,16389020.963260034,5736803826.129704,1179738574380674.0
32.04894993397858,13563398.141123796,12650660.711805455,9212103023.474003,744472610380796.2
16.8801819269221,9000398.698802607,14827574.280134682,5693684112.708321,984208780369919.5
50.256925081664704,10622894.2066006,34388437.35997601,727603025.8295155,5350079872788962.0
26.181720232975394,15212111.3352451,20856076.727497876,9351024123.934063,2015061053110937.2
15.860990184083356,19239057.866440594,13151816.37945715,5035070197.732622,766806542639686.1
28.811456988152358,14487827.977831999,10813758.932916738,9661003033.851398,542481600091487.0
34.543615752083966,7439602.786619952,10770009.838119142,4040781527.308893,540045627547598.1
43.265150750444434,10217404.457097566,47023645.244477704,5592046641.36969,1.0316223694247082e+16
37.36543108351412,8998664.293714402,27307312.975014035,1786626495.8650746,3463217981651166.0
15.99956304919835,14262819.345416507,11393958.351796478,6927943812.405252,575684521201601.0
51.15064979943014,13515980.217001067,11747451.532428712,4219809078.525374,643597222885547.0
22.107294998351357,12290888.783990659,18392470.802443646,8566592706.801044,1556103850973434.2
34.35028314742495,11020238.099464618,14953963.032378867,9322892617.538715,1041239038357253.8
18.650772317493566,13436856.654009826,15501133.607176948,9265758961.26906,1088969361227795.5
48.63335035838956,14598438.759813484,25767170.404040623,8563050550.280881,3098075600740524.5
14.883193328853089,5108267.194926091,21493467.665203474,4113099088.3159895,2033895376553757.8
19.458140966451847,14721916.713530872,12732544.705752451,7088128576.226547,737947186245328.5
53.25077297817721,10308077.000607409,19721035.083957728,3718458294.3448524,1814356764066410.2
26.653263122706914,15963678.72305045,16550576.121777883,7167421010.635763,1268562438133302.8
70.32641355109064,15870665.985072028,14603229.872427294,8973470401.495304,994441485295634.4
18.536181461848614,12013832.205059707,16450036.330548437,6688121619.248714,1226702453760288.2
46.81530580021557,16608046.2843723,14420734.684227789,5251717426.663108,969825245029289.5
13.839648135310213,10355368.671146195,10123444.316365764,8365633727.785084,444189277922130.94
10.086066051345526,16927625.993075874,15812126.553910036,7697748315.504699,1027239578372053.8
59.70392765399242,11074844.455945142,11439447.88108816,9982131015.30072,610276506503022.6
26.9956355852121,15344966.53518038,13003190.870628707,8017807522.01613,782837068458044.5
47.34577271257298,7278322.983409701,18998023.1462855,5494363980.631585,1683713522335829.8
16.378472820951032,6739642.681750024,12939720.690564737,7229220041.758651,749424946864881.9
15.343281142267543,13692529.271811021,32812825.66610176,9178964230.544888,4785568455619307.0
17.617167942366496,6034455.117582764,18040688.380116828,6250376703.405498,1468076626995714.5
42.618632990077366,12031345.179519214,14169354.70713363,5089934720.10922,936155690312958.5
40.97681945968212,8282700.51474227,13132275.3509034,8252234532.413523,803949257146708.5
16.786809797498705,14777271.142365467,22635092.583397847,5949202090.982546,2294611810446076.5
30.691107785650136,12239348.066825483,39191586.317099445,8362903484.638187,7096888861782679.0
14.560351978974712,10348885.131751314,11152260.909501411,8612259361.271637,545952377174161.25
68.65400495456745,12898189.640236877,13410887.057501215,6631656363.434868,838679106338541.4
15.49721764484402,9964399.940401185,19850231.462572195,2545181318.8715925,1751784883845991.2
20.40229051267892,8449076.974744102,24268645.75501308,6444319007.606882,2695771689702037.0
27.182934294979205,12513482.421290101,35177921.703068055,9065802183.67986,5744237929142211.0
26.748787730548614,14676467.92503849,12172062.97070833,8461860609.7654,685939844028044.5
30.6151118574517,8503833.15608563,24204165.626221977,7663507418.301594,2724422823215066.0
16.944434304510906,11772216.62070784,14241261.799722776,3971210995.383401,907660444641204.6
16.919985447374582,8601139.693831429,10189842.92991596,8713321592.457083,464503891903054.56
51.385000164444094,7010317.547980929,13242497.368348705,6856657900.729736,817924905210888.4
17.245032254173875,13326078.997516545,22779714.007887494,5053355796.777004,2340976205141897.5
20.296727232570564,7399895.671894178,24010884.331418026,2199275366.918284,2639192437086955.5
39.25694745770582,9598226.61527901,18638039.097286366,9199175326.416737,1619534501703212.5
15.00290015180995,11522477.745463576,12288931.097789366,7086259511.822248,669873211294012.6
46.26835473788252,9436970.955372391,11783118.283116475,8092751654.183996,647478264185614.5
25.239654631083187,12765105.37395023,19225591.31790073,9769936668.879093,1709971594827443.2
17.516528016497332,8848767.735599106,12928940.040442098,6357642802.870261,753317068412907.0
18.383815335199078,10964889.20078062,11103491.906953812,4676074720.92506,558589430072424.9
39.300411812344166,13504011.6545309,13892100.063060291,4342796544.563123,899541163267929.9
25.3656549275067,10355368.671146195,15566854.290900176,8365633727.785084,1120904023202815.8
12.121401239086396,15105781.389978196,14591320.39773741,7386983165.36376,909074635129814.8
41.5341079403029,16383546.886698825,42458326.89577097,1977271251.023622,8347806013267511.0
45.911878745249886,18387563.05907184,11545684.990718078,6856794379.3498,621489601446675.9
18.956314755638125,8262573.596950871,32334750.879039936,9558819242.37944,4746721557419308.0
67.46159958776278,10565519.466440255,10244027.607580055,1814355297.320732,489308285132997.1
29.580478587964045,7377567.526244851,45302489.615294434,5073252748.042303,9540735626015978.0
40.55834157284312,8886559.715390448,45552934.32355295,6642261024.627376,9683048196991432.0
39.389266211283235,8733496.180481974,49297306.11947192,9654307969.787312,1.1343378746961816e+16
43.1667832151314,11127508.897650568,15052129.680393375,7091947830.482804,1056555679229647.8
15.860990184083356,7841373.560180687,13755712.201821208,6769864447.16032,839774975206369.5
28.811456988152358,10766200.774935938,12745846.449444767,4460565929.351323,753893541670905.5
45.849799650542266,11528044.764593938,11825195.2627744,2949270299.9955063,652077343792383.2
